Time, New Command, Measured EIP, Command EIP, Measured DI, Command DI, Measured EDC, Command EDC, Measured PI, Command PI, Measured LUM, Command LUM, Measured FDS, Command FDS, Measured FDP, Command FDP, Force y, Mx, Force x, M z, M y, Force z
0.3,0,2.256465,2,0.163742,2,2.107491,2,2.450334,2,4.945141,2,1.949374,2,2.123734,2,0.025782,0.028361,0.031583,0.000967,-0.043508,-0.013858
0.31,0,2.250863,2,0.069015,2,2.036312,2,2.421805,2,5.142946,2,1.937729,2,2.081929,2,0.025782,0.029005,0.03255,0.000967,-0.044797,-0.014503
0.32,0,2.24526,2,-0.017592,2,2.119869,2,2.437655,2,5.412457,2,1.919097,2,2.132096,2,0.026427,0.02965,0.033517,0.000645,-0.045764,-0.01418
0.33,0,2.232654,2,-0.090667,2,2.070354,2,2.390106,2,5.590482,2,1.949374,2,2.109799,2,0.026749,0.030294,0.033839,0.001611,-0.047053,-0.014503
0.34,0,2.22425,2,-0.14615,2,2.132248,2,2.434485,2,5.748726,2,1.995954,2,2.037336,2,0.026749,0.031583,0.034484,0.001611,-0.046408,-0.015147
0.35,0,2.215846,2,-0.173214,2,2.064165,2,2.390106,2,5.879773,2,1.956361,2,2.093077,2,0.029327,0.032228,0.035129,0.001611,-0.047053,-0.015469
0.36,0,2.20184,2,-0.198926,2,2.00846,2,2.352067,2,6.097359,2,1.95869,2,2.065206,2,0.029327,0.034162,0.035773,0.001289,-0.047375,-0.014503
0.37,0,2.196237,2,-0.190806,2,2.085828,2,2.380597,2,6.275384,2,1.98198,2,2.109799,2,0.030294,0.03674,0.036418,0.002256,-0.048987,-0.015469
0.38,0,2.18083,2,-0.190806,2,2.017744,2,2.333048,2,6.562203,2,1.951703,2,2.067993,2,0.033195,0.039318,0.038029,0.002578,-0.048987,-0.016114
0.39,0,2.172426,2,-0.175921,2,2.095112,2,2.380597,2,7.098751,2,2.002941,2,2.123734,2,0.033839,0.042219,0.038996,0.001934,-0.051887,-0.017081
0.4,0,2.158419,2,-0.173214,2,2.036312,2,2.323538,2,7.343536,2,1.974993,2,2.076355,2,0.037707,0.045764,0.043186,0.002901,-0.05511,-0.01837
0.41,0,2.140211,2,-0.165095,2,1.927998,2,2.291839,2,7.749038,2,1.961019,2,2.034549,2,0.039963,0.049631,0.04383,0.002578,-0.056721,-0.01837
0.42,0,2.127605,2,-0.161035,2,2.027028,2,2.323538,2,8.199046,2,1.984309,2,2.084716,2,0.042541,0.05511,0.045442,0.002901,-0.060266,-0.019981
0.43,0,2.116399,2,-0.170508,2,1.996081,2,2.28233,2,8.693561,2,1.970335,2,2.045697,2,0.047375,0.060266,0.048664,0.00419,-0.062522,-0.019337
0.44,0,2.098191,2,-0.173214,2,2.054881,2,2.25697,2,9.108954,2,2.014586,2,2.098651,2,0.048987,0.06639,0.050598,0.00419,-0.066067,-0.020304
0.45,0,2.081383,2,-0.185393,2,1.980608,2,2.26965,2,9.630667,2,1.995954,2,2.065206,2,0.053176,0.070902,0.053499,0.004512,-0.070579,-0.02127
0.46,0,2.051969,2,-0.190806,2,1.937282,2,2.241121,2,10.177106,2,1.942387,2,2.040123,2,0.056399,0.07638,0.05511,0.004512,-0.072835,-0.02127
0.47,0,2.044966,2,-0.194866,2,1.971324,2,2.196742,2,10.503486,2,2.033218,2,2.079142,2,0.057366,0.078959,0.057366,0.004834,-0.075414,-0.023526
0.48,0,2.026757,2,-0.201632,2,1.90324,2,2.165043,2,10.797723,2,2.007599,2,2.120947,2,0.0593,0.080892,0.058655,0.004512,-0.077992,-0.024171
0.49,0,2.042164,2,-0.207045,2,1.980608,2,1.997038,2,10.951022,2,2.058837,2,2.101438,2,0.061555,0.085404,0.060266,0.004512,-0.079926,-0.024493
0.5,0,2.03236,2,-0.211105,2,1.934187,2,1.905111,2,11.237841,2,2.002941,2,2.11816,2,0.0622,0.086049,0.060911,0.00419,-0.081859,-0.024171
0.51,0,2.029558,2,-0.211105,2,1.859914,2,1.867072,2,11.339217,2,1.977322,2,2.095864,2,0.062522,0.08766,0.061878,0.00419,-0.083148,-0.02546
